2PE 1:17.1 λαβὼν V-2AAP-NSM 2983 λαμβάνω ! λαμβάνω
2PE 1:17.2 γὰρ CONJ 1063 γάρ ! γάρ
2PE 1:17.3 παρὰ PREP 3844 παρά ! παρά
2PE 1:17.4 θεοῦ N-GSM 2316 θεός ! θεός
2PE 1:17.5 πατρὸς N-GSM 3962 πατήρ ! πατήρ
2PE 1:17.6 τιμὴν N-ASF 5092 τιμή ! τιμή
2PE 1:17.7 καὶ CONJ 2532 καί ! καί
2PE 1:17.8 δόξαν N-ASF 1391 δόξα ! δόξα
2PE 1:17.9 φωνῆς N-GSF 5456 φωνή ! φωνή
2PE 1:17.10 ἐνεχθείσης V-APP-GSF 5342 φέρω ! φέρω
2PE 1:17.11 αὐτῷ P-DSM 846 αὐτός ! αὐτός
2PE 1:17.12 τοιᾶσδε D-GSF 5107 τοιόσδε ! τοιόσδε
2PE 1:17.13 ὑπὸ PREP 5259 ὑπό ! ὑπό
2PE 1:17.14 τῆς T-GSF 3588 ὁ ! ὁ
2PE 1:17.15 μεγαλοπρεποῦς A-GSF 3169 μεγαλοπρεπής ! μεγαλοπρεπής
2PE 1:17.16 δόξης· N-GSF 1391 δόξα ! δόξα
2PE 1:17.17 οὗτός D-NSM 3778 οὗτος ! οὗτος
2PE 1:17.18 ἐστιν V-PAI-3S 1510 εἰμί ! εἰμί
2PE 1:17.19 ὁ T-NSM 3588 ὁ ! ὁ
2PE 1:17.20 υἱός N-NSM 5207 υἱός ! υἱός
2PE 1:17.21 μου P-1GS 1473 ἐγώ ! ἐγώ
2PE 1:17.22 ὁ T-NSM 3588 ὁ ! ὁ
2PE 1:17.23 ἀγαπητός, A-NSM 27 ἀγαπητός ! ἀγαπητός
2PE 1:17.24 εἰς PREP 1519 εἰς ! εἰς
2PE 1:17.25 ὃν R-ASM 3739 ὅς ! ὅς
2PE 1:17.26 ἐγὼ P-1NS 1473 ἐγώ ! ἐγώ
2PE 1:17.27 εὐδόκησα. V-AAI-1S 2106 εὐδοκέω ! εὐδοκέω
2PE 1:18.1 καὶ CONJ 2532 καί ! καί
2PE 1:18.2 ταύτην D-ASF 3778 οὗτος ! οὗτος
2PE 1:18.3 τὴν T-ASF 3588 ὁ ! ὁ
2PE 1:18.4 φωνὴν N-ASF 5456 φωνή ! φωνή
2PE 1:18.5 ἡμεῖς P-1NP 2248 ἡμᾶς ! ἐγώ
2PE 1:18.6 ἠκούσαμεν V-AAI-1P 191 ἀκούω ! ἀκούω
2PE 1:18.7 ἐξ PREP 1537 ἐκ ! ἐκ
2PE 1:18.8 οὐρανοῦ N-GSM 3772 οὐρανός ! οὐρανός
2PE 1:18.9 ἐνεχθεῖσαν V-APP-ASF 5342 φέρω ! φέρω
2PE 1:18.10 σὺν PREP 4862 σύν ! σύν
