2TH 1:11.1 Εἰς PREP 1519 εἰς ! εἰς
2TH 1:11.2 ὃ R-ASN 3739 ὅς ! ὅς
2TH 1:11.3 καὶ CONJ 2532 καί ! καί
2TH 1:11.4 προσευχόμεθα V-PNI-1P 4336 προσεύχομαι ! προσεύχομαι
2TH 1:11.5 πάντοτε ADV 3842 πάντοτε ! πάντοτε
2TH 1:11.6 περὶ PREP 4012 περί ! περί
2TH 1:11.7 ὑμῶν, P-2GP 5210 ὑμεῖς ! σύ
2TH 1:11.8 ἵνα CONJ 2443 ἵνα ! ἵνα
2TH 1:11.9 ὑμᾶς P-2AP 5210 ὑμεῖς ! σύ
2TH 1:11.10 ἀξιώσῃ V-AAS-3S 515 ἀξιόω ! ἀξιόω
2TH 1:11.11 τῆς T-GSF 3588 ὁ ! ὁ
2TH 1:11.12 κλήσεως N-GSF 2821 κλῆσις ! κλῆσις
2TH 1:11.13 ὁ T-NSM 3588 ὁ ! ὁ
2TH 1:11.14 θεὸς N-NSM 2316 θεός ! θεός
2TH 1:11.15 ἡμῶν P-1GP 2248 ἡμᾶς ! ἐγώ
2TH 1:11.16 καὶ CONJ 2532 καί ! καί
2TH 1:11.17 πληρώσῃ V-AAS-3S 4137 πληρόω ! πληρόω
2TH 1:11.18 πᾶσαν A-ASF 3956 πᾶς ! πᾶς
2TH 1:11.19 εὐδοκίαν N-ASF 2107 εὐδοκία ! εὐδοκία
2TH 1:11.20 ἀγαθωσύνης N-GSF 19 ἀγαθωσύνη ! ἀγαθωσύνη
2TH 1:11.21 καὶ CONJ 2532 καί ! καί
2TH 1:11.22 ἔργον N-ASN 2041 ἔργον ! ἔργον
2TH 1:11.23 πίστεως N-GSF 4102 πίστις ! πίστις
2TH 1:11.24 ἐν PREP 1722 ἐν ! ἐν
2TH 1:11.25 δυνάμει, N-DSF 1411 δύναμις ! δύναμις
2TH 1:12.1 ὅπως ADV 3704 ὅπως ! ὅπως
2TH 1:12.2 ἐνδοξασθῇ V-APS-3S 1740 ἐνδοξάζω ! ἐνδοξάζομαι
2TH 1:12.3 τὸ T-NSN 3588 ὁ ! ὁ
2TH 1:12.4 ὄνομα N-NSN 3686 ὄνομα ! ὄνομα
2TH 1:12.5 τοῦ T-GSM 3588 ὁ ! ὁ
2TH 1:12.6 κυρίου N-GSM 2962 κύριος ! κύριος
2TH 1:12.7 ἡμῶν P-1GP 2248 ἡμᾶς ! ἐγώ
2TH 1:12.8 Ἰησοῦ N-GSM 2424 Ἰησοῦς ! Ἰησοῦς
2TH 1:12.9 ἐν PREP 1722 ἐν ! ἐν
2TH 1:12.10 ὑμῖν, P-2DP 5210 ὑμεῖς ! σύ
2TH 1:12.11 καὶ CONJ 2532 καί ! καί
2TH 1:12.12 ὑμεῖς P-2NP 5210 ὑμεῖς ! σύ
2TH 1:12.13 ἐν PREP 1722 ἐν ! ἐν
2TH 1:12.14 αὐτῷ, P-DSM 846 αὐτός ! αὐτός
2TH 1:12.15 κατὰ PREP 2596 κατά ! κατά
2TH 1:12.16 τὴν T-ASF 3588 ὁ ! ὁ
2TH 1:12.17 χάριν N-ASF 5485 χάρις ! χάρις
2TH 1:12.18 τοῦ T-GSM 3588 ὁ ! ὁ
2TH 1:12.19 θεοῦ N-GSM 2316 θεός ! θεός
2TH 1:12.20 ἡμῶν P-1GP 2248 ἡμᾶς ! ἐγώ
2TH 1:12.21 καὶ CONJ 2532 καί ! καί
2TH 1:12.22 κυρίου N-GSM 2962 κύριος ! κύριος
2TH 1:12.23 Ἰησοῦ N-GSM 2424 Ἰησοῦς ! Ἰησοῦς
2TH 1:12.24 Χριστοῦ. N-GSM 5547 Χριστός ! Χριστός
2TH 2:1.1 Ἐρωτῶμεν V-PAI-1P 2065 ἐρωτάω ! ἐρωτάω
2TH 2:1.2 δὲ CONJ 1161 δέ ! δέ
2TH 2:1.3 ὑμᾶς, P-2AP 5210 ὑμεῖς ! σύ
2TH 2:1.4 ἀδελφοί, N-VPM 80 ἀδελφός ! ἀδελφός
2TH 2:1.5 ὑπὲρ PREP 5228 ὑπέρ ! ὑπέρ
2TH 2:1.6 τῆς T-GSF 3588 ὁ ! ὁ
2TH 2:1.7 παρουσίας N-GSF 3952 παρουσία ! παρουσία
2TH 2:1.8 τοῦ T-GSM 3588 ὁ ! ὁ
2TH 2:1.9 κυρίου N-GSM 2962 κύριος ! κύριος
