1PE 1:19.8 ἀσπίλου A-GSM 784 ἄσπιλος ! ἄσπιλος
1PE 1:19.9 Χριστοῦ, N-GSM 5547 Χριστός ! Χριστός
1PE 1:20.1 προεγνωσμένου V-RPP-GSM 4267 προγινώσκω ! προγινώσκω
1PE 1:20.2 μὲν PRT 3303 μέν ! μέν
1PE 1:20.3 πρὸ PREP 4253 πρό ! πρό
1PE 1:20.4 καταβολῆς N-GSF 2602 καταβολή ! καταβολή
1PE 1:20.5 κόσμου, N-GSM 2889 κόσμος ! κόσμος
1PE 1:20.6 φανερωθέντος V-APP-GSM 5319 φανερόω ! φανερόω
1PE 1:20.7 δὲ CONJ 1161 δέ ! δέ
1PE 1:20.8 ἐπ’ PREP 1909 ἐπί ! ἐπί
1PE 1:20.9 ἐσχάτου A-GSM-S 2078 ἔσχατος ! ἔσχατος
1PE 1:20.10 τῶν T-GPM 3588 ὁ ! ὁ
1PE 1:20.11 χρόνων N-GPM 5550 χρόνος ! χρόνος
1PE 1:20.12 δι’ PREP 1223 διά ! διά
1PE 1:20.13 ὑμᾶς P-2AP 5210 ὑμεῖς ! σύ
1PE 1:21.1 τοὺς T-APM 3588 ὁ ! ὁ
1PE 1:21.2 δι’ PREP 1223 διά ! διά
1PE 1:21.3 αὐτοῦ P-GSM 846 αὐτός ! αὐτός
1PE 1:21.4 πιστοὺς A-APM 4103 πιστός ! πιστός
1PE 1:21.5 εἰς PREP 1519 εἰς ! εἰς
1PE 1:21.6 θεὸν N-ASM 2316 θεός ! θεός
1PE 1:21.7 τὸν T-ASM 3588 ὁ ! ὁ
1PE 1:21.8 ἐγείραντα V-AAP-ASM 1453 ἐγείρω ! ἐγείρω
1PE 1:21.9 αὐτὸν P-ASM 846 αὐτός ! αὐτός
1PE 1:21.10 ἐκ PREP 1537 ἐκ ! ἐκ
1PE 1:21.11 νεκρῶν A-GPM 3498 νεκρός ! νεκρός
1PE 1:21.12 καὶ CONJ 2532 καί ! καί
1PE 1:21.13 δόξαν N-ASF 1391 δόξα ! δόξα
1PE 1:21.14 αὐτῷ P-DSM 846 αὐτός ! αὐτός
1PE 1:21.15 δόντα, V-2AAP-ASM 1325 δίδωμι ! δίδωμι
1PE 1:21.16 ὥστε CONJ 5620 ὥστε ! ὥστε
1PE 1:21.17 τὴν T-ASF 3588 ὁ ! ὁ
1PE 1:21.18 πίστιν N-ASF 4102 πίστις ! πίστις
1PE 1:21.19 ὑμῶν P-2GP 5210 ὑμεῖς ! σύ
1PE 1:21.20 καὶ CONJ 2532 καί ! καί
1PE 1:21.21 ἐλπίδα N-ASF 1680 ἐλπίς ! ἐλπίς
1PE 1:21.22 εἶναι V-PAN 1510 εἰμί ! εἰμί
1PE 1:21.23 εἰς PREP 1519 εἰς ! εἰς
1PE 1:21.24 θεόν. N-ASM 2316 θεός ! θεός
1PE 1:22.1 Τὰς T-APF 3588 ὁ ! ὁ
1PE 1:22.2 ψυχὰς N-APF 5590 ψυχή ! ψυχή
1PE 1:22.3 ὑμῶν P-2GP 5210 ὑμεῖς ! σύ
1PE 1:22.4 ἡγνικότες V-RAP-NPM 48 ἁγνίζω ! ἁγνίζω
1PE 1:22.5 ἐν PREP 1722 ἐν ! ἐν
1PE 1:22.6 τῇ T-DSF 3588 ὁ ! ὁ
1PE 1:22.7 ὑπακοῇ N-DSF 5218 ὑπακοή ! ὑπακοή
1PE 1:22.8 τῆς T-GSF 3588 ὁ ! ὁ
1PE 1:22.9 ἀληθείας N-GSF 225 ἀλήθεια ! ἀλήθεια
1PE 1:22.10 εἰς PREP 1519 εἰς ! εἰς
1PE 1:22.11 φιλαδελφίαν N-ASF 5360 φιλαδελφία ! φιλαδελφία
1PE 1:22.12 ἀνυπόκριτον, A-ASF 505 ἀνυπόκριτος ! ἀνυπόκριτος
1PE 1:22.13 ἐκ PREP 1537 ἐκ ! ἐκ
1PE 1:22.14 καρδίας N-GSF 2588 καρδία ! καρδία
1PE 1:22.15 ἀλλήλους C-APM 240 ἀλλήλων ! ἀλλήλων
1PE 1:22.16 ἀγαπήσατε V-AAM-2P 25 ἀγαπάω ! ἀγαπάω
1PE 1:22.17 ἐκτενῶς, ADV 1619 ἐκτενῶς ! ἐκτενῶς
1PE 1:23.1 ἀναγεγεννημένοι V-PPP-NPM 313 ἀναγεννάω ! ἀναγεννάω
1PE 1:23.2 οὐκ PRT-N 3756 οὐ ! οὐ
