RE 1:7.16 κόψονται V-FDI-3P 2875 κόπτω ! κόπτω
RE 1:7.17 ἐπ’ PREP 1909 ἐπί ! ἐπί
RE 1:7.18 αὐτὸν P-ASM 846 αὐτός ! αὐτός
RE 1:7.19 πᾶσαι A-NPF 3956 πᾶς ! πᾶς
RE 1:7.20 αἱ T-NPF 3588 ὁ ! ὁ
RE 1:7.21 φυλαὶ N-NPF 5443 φυλή ! φυλή
RE 1:7.22 τῆς T-GSF 3588 ὁ ! ὁ
RE 1:7.23 γῆς. N-GSF 1093 γῆ ! γῆ
RE 1:7.24 ναί, PRT 3483 ναί ! ναί
RE 1:7.25 ἀμήν. HEB 281 ἀμήν ! ἀμήν
RE 1:8.1 ἐγώ P-1NS 1473 ἐγώ ! ἐγώ
RE 1:8.2 εἰμι V-PAI-1S 1510 εἰμί ! εἰμί
RE 1:8.3 τὸ T-NSN 3588 ὁ ! ὁ
RE 1:8.4 ἄλφα N-LI 1 Α ! ἄλφα
RE 1:8.5 καὶ CONJ 2532 καί ! καί
RE 1:8.6 τὸ T-NSN 3588 ὁ ! ὁ
RE 1:8.7 ω, N-LI 5598 Ω ! Ὦ
RE 1:8.8 λέγει V-PAI-3S 3004 λέγω ! λέγω
RE 1:8.9 κύριος N-NSM 2962 κύριος ! κύριος
RE 1:8.10 ὁ T-NSM 3588 ὁ ! ὁ
RE 1:8.11 θεός, N-NSM 2316 θεός ! θεός
RE 1:8.12 ὁ T-NSM 3588 ὁ ! ὁ
RE 1:8.13 ὢν V-PAP-NSM 1510 εἰμί ! εἰμί
RE 1:8.14 καὶ CONJ 2532 καί ! καί
RE 1:8.15 ὁ T-NSM 3588 ὁ ! ὁ
RE 1:8.16 ἦν V-IAI-3S 1510 εἰμί ! εἰμί
RE 1:8.17 καὶ CONJ 2532 καί ! καί
RE 1:8.18 ὁ T-NSM 3588 ὁ ! ὁ
RE 1:8.19 ἐρχόμενος, V-PNP-NSM 2064 ἔρχομαι ! ἔρχομαι
RE 1:8.20 ὁ T-NSM 3588 ὁ ! ὁ
RE 1:8.21 παντοκράτωρ. N-NSM 3841 παντοκράτωρ ! παντοκράτωρ
RE 1:9.1 Ἐγὼ P-1NS 1473 ἐγώ ! ἐγώ
RE 1:9.2 Ἰωάννης, N-NSM 2491 Ἰωάννης ! Ἰωάννης
RE 1:9.3 ὁ T-NSM 3588 ὁ ! ὁ
RE 1:9.4 ἀδελφὸς N-NSM 80 ἀδελφός ! ἀδελφός
RE 1:9.5 ὑμῶν P-2GP 5210 ὑμεῖς ! σύ
RE 1:9.6 καὶ CONJ 2532 καί ! καί
RE 1:9.7 συνκοινωνὸς A-NSM 4791 συγκοινωνός ! συγκοινωνός
RE 1:9.8 ἐν PREP 1722 ἐν ! ἐν
RE 1:9.9 τῇ T-DSF 3588 ὁ ! ὁ
RE 1:9.10 θλίψει N-DSF 2347 θλῖψις ! θλῖψις
RE 1:9.11 καὶ CONJ 2532 καί ! καί
