1TI 1:12.3 τῷ T-DSM 3588 ὁ ! ὁ
1TI 1:12.4 ἐνδυναμώσαντί V-AAP-DSM 1743 ἐνδυναμόω ! ἐνδυναμόω
1TI 1:12.5 με P-1AS 1473 ἐγώ ! ἐγώ
1TI 1:12.6 Χριστῷ N-DSM 5547 Χριστός ! Χριστός
1TI 1:12.7 Ἰησοῦ N-DSM 2424 Ἰησοῦς ! Ἰησοῦς
1TI 1:12.8 τῷ T-DSM 3588 ὁ ! ὁ
1TI 1:12.9 κυρίῳ N-DSM 2962 κύριος ! κύριος
1TI 1:12.10 ἡμῶν, P-1GP 2248 ἡμᾶς ! ἐγώ
1TI 1:12.11 ὅτι CONJ 3754 ὅτι ! ὅτι
1TI 1:12.12 πιστόν A-ASM 4103 πιστός ! πιστός
1TI 1:12.13 με P-1AS 1473 ἐγώ ! ἐγώ
1TI 1:12.14 ἡγήσατο V-ADI-3S 2233 ἡγέομαι ! ἡγέομαι
1TI 1:12.15 θέμενος V-2AMP-NSM 5087 τίθημι ! τίθημι
1TI 1:12.16 εἰς PREP 1519 εἰς ! εἰς
1TI 1:12.17 διακονίαν, N-ASF 1248 διακονία ! διακονία
1TI 1:13.1 τὸ T-ASN 3588 ὁ ! ὁ
1TI 1:13.2 πρότερον ADV-C 4386 πρότερον ! πρότερος
1TI 1:13.3 ὄντα V-PAP-ASM 1510 εἰμί ! εἰμί
1TI 1:13.4 βλάσφημον A-ASM 989 βλάσφημος ! βλάσφημος
1TI 1:13.5 καὶ CONJ 2532 καί ! καί
1TI 1:13.6 διώκτην N-ASM 1376 διώκτης ! διώκτης
1TI 1:13.7 καὶ CONJ 2532 καί ! καί
1TI 1:13.8 ὑβριστήν· N-ASM 5197 ὑβριστής ! ὑβριστής
1TI 1:13.9 ἀλλὰ CONJ 235 ἀλλά ! ἀλλά
1TI 1:13.10 ἠλεήθην, V-API-1S 1653 ἐλεέω ! ἐλεέω
1TI 1:13.11 ὅτι CONJ 3754 ὅτι ! ὅτι
1TI 1:13.12 ἀγνοῶν V-PAP-NSM 50 ἀγνοέω ! ἀγνοέω
1TI 1:13.13 ἐποίησα V-AAI-1S 4160 ποιέω ! ποιέω
1TI 1:13.14 ἐν PREP 1722 ἐν ! ἐν
1TI 1:13.15 ἀπιστίᾳ, N-DSF 570 ἀπιστία ! ἀπιστία
1TI 1:14.1 ὑπερεπλεόνασεν V-AAI-3S 5250 ὑπερπλεονάζω ! ὑπερπλεονάζω
1TI 1:14.2 δὲ CONJ 1161 δέ ! δέ
1TI 1:14.3 ἡ T-NSF 3588 ὁ ! ὁ
1TI 1:14.4 χάρις N-NSF 5485 χάρις ! χάρις
1TI 1:14.5 τοῦ T-GSM 3588 ὁ ! ὁ
1TI 1:14.6 κυρίου N-GSM 2962 κύριος ! κύριος
